das Zeug, die Zeuge - вещь
der Wald, die Wälder - лес
der Junge, die Jungen - мальчик
die Bibliothek, die Bibliotheken - библиотека
der Demokrat, die Demokraten - демократ
der Architekt, die Architekten - архитектор
das Kino, die Kinos - кино
der Satz, die Sätze - предложение
das Hotel, die Hotels - отель
der Student, die Studenten - студент
das Café, die Cafés - кафе
die Hand, die Hände - рука
die Nacht, die Nächte - ночь
die Universität, die Universitäten - университет
der Mann, die Männer - мужчина, муж
